Year,Country,Brand,Model,Engine_Type,Horsepower,Torque_Nm,Fuel_Efficiency_L_100km,Price_USD,Units_Sold,Market_Share_Percent,Weight_kg,Acceleration_0_100_s,CO2_Emissions_g_km
2015,USA,Ford,Mustang GT,V8,435,542,12.5,45000,8500,8.5,1700,4.5,280
2015,Germany,Porsche,911 Carrera,Flat-6,350,390,9.8,95000,3200,3.2,1450,4.2,220
2015,Japan,Nissan,GT-R,V6_Twin_Turbo,545,628,11.8,110000,2100,2.1,1740,2.9,275
2015,Italy,Ferrari,488 GTB,V8_Turbo,661,760,11.3,280000,800,0.8,1475,3.0,260
2015,UK,Aston Martin,DB9,V12,510,620,14.2,200000,450,0.45,1785,4.6,330
2015,Germany,BMW,M4,V6_Turbo,425,550,10.2,75000,5200,5.2,1600,4.1,235
2015,USA,Chevrolet,Camaro SS,V8,455,617,12.8,42000,7800,7.8,1680,4.4,285
2015,Japan,Toyota,Supra,I6_Turbo,340,450,10.5,55000,3100,3.1,1520,4.3,245
2015,Germany,Audi,RS5,V6_Turbo,450,600,10.8,72000,4100,4.1,1650,4.0,250
2015,UK,Jaguar,F-Type,V8,495,625,12.2,85000,2800,2.8,1650,4.1,275
2016,USA,Ford,Mustang GT,V8,435,542,12.3,46000,9200,8.8,1700,4.4,275
2016,Germany,Porsche,911 Carrera,Flat-6,370,450,9.6,97000,3500,3.4,1450,4.0,215
2016,Japan,Nissan,GT-R,V6_Twin_Turbo,565,633,11.6,112000,2300,2.2,1740,2.8,270
2016,Italy,Ferrari,488 GTB,V8_Turbo,661,760,11.1,285000,850,0.82,1475,2.9,255
2016,UK,Aston Martin,DB11,V12,600,700,13.8,220000,520,0.5,1760,3.9,320
2016,Germany,BMW,M4,V6_Turbo,450,550,10.0,77000,5800,5.6,1600,4.0,230
2016,USA,Chevrolet,Camaro SS,V8,455,617,12.5,43000,8500,8.2,1680,4.3,280
2016,Japan,Toyota,Supra,I6_Turbo,340,450,10.3,56000,3400,3.3,1520,4.2,240
2016,Germany,Audi,RS5,V6_Turbo,450,600,10.6,74000,4600,4.4,1650,3.9,245
2016,UK,Jaguar,F-Type,V8,550,680,11.8,88000,3200,3.1,1650,3.7,265
2016,USA,Dodge,Challenger SRT,V8,707,881,13.5,65000,6200,6.0,1900,3.6,310
2017,USA,Ford,Mustang GT,V8,460,569,12.1,47000,10100,9.2,1710,4.3,270
2017,Germany,Porsche,911 Carrera,Flat-6,370,450,9.4,99000,3800,3.5,1450,3.9,210
2017,Japan,Nissan,GT-R,V6_Twin_Turbo,565,633,11.4,115000,2500,2.3,1740,2.7,265
2017,Italy,Ferrari,488 GTB,V8_Turbo,661,760,10.9,290000,900,0.82,1475,2.8,250
2017,UK,Aston Martin,DB11,V12,600,700,13.5,225000,580,0.53,1760,3.8,315
2017,Germany,BMW,M4,V6_Turbo,450,550,9.8,79000,6500,5.9,1600,3.9,225
2017,USA,Chevrolet,Camaro SS,V8,455,617,12.2,44000,9200,8.4,1680,4.2,275
2017,Japan,Toyota,Supra,I6_Turbo,340,450,10.1,58000,3800,3.5,1520,4.1,238
2017,Germany,Audi,RS5,V6_Turbo,450,600,10.4,76000,5100,4.7,1650,3.8,240
2017,UK,Jaguar,F-Type,V8,550,680,11.6,90000,3600,3.3,1650,3.6,260
2017,USA,Dodge,Challenger SRT,V8,707,881,13.2,67000,7100,6.5,1900,3.5,305
2017,Germany,Mercedes,AMG GT,V8_BiTurbo,510,650,11.5,135000,1800,1.6,1645,3.8,265
2018,USA,Ford,Mustang GT,V8,460,569,11.9,48000,11200,9.8,1710,4.2,265
2018,Germany,Porsche,911 Carrera,Flat-6,385,450,9.2,101000,4200,3.7,1450,3.8,205
2018,Japan,Nissan,GT-R,V6_Twin_Turbo,565,633,11.2,118000,2700,2.4,1740,2.6,260
2018,Italy,Ferrari,488 Pista,V8_Turbo,711,770,10.7,350000,950,0.83,1385,2.85,245
2018,UK,Aston Martin,DB11,V12,630,700,13.2,230000,650,0.57,1760,3.7,310
2018,Germany,BMW,M4,V6_Turbo,450,550,9.6,81000,7200,6.3,1600,3.8,220
2018,USA,Chevrolet,Camaro SS,V8,455,617,12.0,45000,10100,8.8,1680,4.1,270
2018,Japan,Toyota,Supra,I6_Turbo,340,450,9.9,60000,4200,3.7,1520,4.0,235
2018,Germany,Audi,RS5,V6_Turbo,450,600,10.2,78000,5600,4.9,1650,3.7,235
2018,UK,Jaguar,F-Type,V8,550,680,11.4,92000,4000,3.5,1650,3.5,255
2018,USA,Dodge,Challenger SRT,V8,717,889,13.0,69000,8200,7.2,1900,3.4,300
2018,Germany,Mercedes,AMG GT,V8_BiTurbo,550,680,11.2,140000,2100,1.8,1645,3.6,260
2018,Italy,Lamborghini,Huracan,V10,630,600,12.8,260000,1200,1.05,1422,2.9,290
2019,USA,Ford,Mustang GT,V8,460,569,11.7,49000,12500,10.2,1710,4.1,260
2019,Germany,Porsche,911 Carrera,Flat-6,385,450,9.0,103000,4600,3.8,1450,3.7,200
2019,Japan,Nissan,GT-R,V6_Twin_Turbo,565,633,11.0,120000,2900,2.4,1740,2.5,255
2019,Italy,Ferrari,488 Pista,V8_Turbo,711,770,10.5,360000,1050,0.86,1385,2.8,240
2019,UK,Aston Martin,DBS,V12,715,900,13.0,310000,720,0.59,1800,3.4,305
2019,Germany,BMW,M4,V6_Turbo,450,550,9.4,83000,8000,6.5,1600,3.7,215
2019,USA,Chevrolet,Camaro SS,V8,455,617,11.8,46000,11200,9.1,1680,4.0,265
2019,Japan,Toyota,Supra,I6_Turbo,340,450,9.7,62000,4600,3.8,1520,3.9,232
2019,Germany,Audi,RS5,V6_Turbo,450,600,10.0,80000,6200,5.1,1650,3.6,230
2019,UK,Jaguar,F-Type,V8,575,700,11.2,94000,4400,3.6,1650,3.4,250
2019,USA,Dodge,Challenger SRT,V8,717,889,12.8,71000,9500,7.7,1900,3.3,295
2019,Germany,Mercedes,AMG GT,V8_BiTurbo,577,700,11.0,145000,2400,2.0,1645,3.5,255
2019,Italy,Lamborghini,Huracan,V10,640,600,12.6,270000,1350,1.1,1422,2.8,285
2019,USA,Chevrolet,Corvette Z06,V8,650,881,13.2,85000,3800,3.1,1560,2.95,295
2020,USA,Ford,Mustang GT,V8,460,569,11.5,50000,11800,10.5,1710,4.0,255
2020,Germany,Porsche,911 Carrera,Flat-6,385,450,8.8,105000,4800,4.3,1450,3.6,195
2020,Japan,Nissan,GT-R,V6_Twin_Turbo,565,633,10.8,122000,2800,2.5,1740,2.4,250
2020,Italy,Ferrari,F8 Tributo,V8_Turbo,710,770,10.3,280000,1100,0.98,1435,2.9,235
2020,UK,Aston Martin,DBS,V12,715,900,12.8,320000,680,0.6,1800,3.3,300
2020,Germany,BMW,M4,V6_Turbo,473,598,9.2,85000,7500,6.7,1600,3.6,210
2020,USA,Chevrolet,Camaro SS,V8,455,617,11.6,47000,10500,9.3,1680,3.9,260
2020,Japan,Toyota,Supra,I6_Turbo,382,500,9.5,64000,4800,4.3,1520,3.8,228
2020,Germany,Audi,RS5,V6_Turbo,450,600,9.8,82000,5800,5.2,1650,3.5,225
2020,UK,Jaguar,F-Type,V8,575,700,11.0,96000,3800,3.4,1650,3.3,245
2020,USA,Dodge,Challenger SRT,V8,717,889,12.5,73000,8800,7.8,1900,3.2,290
2020,Germany,Mercedes,AMG GT,V8_BiTurbo,577,700,10.8,150000,2200,2.0,1645,3.4,250
2020,Italy,Lamborghini,Huracan,V10,640,600,12.4,280000,1200,1.1,1422,2.7,280
2020,USA,Chevrolet,Corvette Z06,V8,650,881,13.0,87000,3500,3.1,1560,2.9,290
2020,Germany,Porsche,Taycan Turbo,Electric,670,1050,12.0,150000,3200,2.8,2305,3.0,0
2021,USA,Ford,Mustang Mach-E,Electric,480,814,10.5,55000,15200,12.8,2200,3.5,0
2021,Germany,Porsche,911 Carrera,Flat-6,385,450,8.6,107000,5200,4.4,1450,3.5,190
2021,Japan,Nissan,GT-R,V6_Twin_Turbo,565,633,10.6,125000,2600,2.2,1740,2.3,245
2021,Italy,Ferrari,F8 Tributo,V8_Turbo,710,770,10.1,290000,1150,0.97,1435,2.85,230
2021,UK,Aston Martin,DBS,V12,715,900,12.6,330000,620,0.52,1800,3.2,295
2021,Germany,BMW,M4,V6_Turbo,503,650,9.0,87000,8200,6.9,1600,3.5,205
2021,USA,Chevrolet,Camaro SS,V8,455,617,11.4,48000,9800,8.3,1680,3.8,255
2021,Japan,Toyota,Supra,I6_Turbo,382,500,9.3,66000,5000,4.2,1520,3.7,225
2021,Germany,Audi,RS5,V6_Turbo,450,600,9.6,84000,5400,4.6,1650,3.4,220
2021,UK,Jaguar,F-Type,V8,575,700,10.8,98000,3200,2.7,1650,3.2,240
2021,USA,Dodge,Challenger SRT,V8,807,958,12.2,75000,8200,6.9,1900,3.1,285
